"School ID","School Name","Type","Authority","Gender","Regional Council","TA with Auckland Local Board","From","To","Number of changes"
304,"John Paul II High School","Secondary (Year 9-15)","State: Integrated","Co-Ed","West Coast Region","Grey District",2000,2017,1
305,"Westland High School","Secondary (Year 7-15)","State: Not integrated","Co-Ed","West Coast Region","Westland District",2000,2017,1
306,"South Westland Area School","Composite (Year 1-15)","State: Not integrated","Co-Ed","West Coast Region","Westland District",2000,2017,1
307,"Kaikoura High School","Secondary (Year 7-15)","State: Not integrated","Co-Ed","Canterbury Region","Kaikoura District",2000,2017,1
308,"Amuri Area School","Composite (Year 1-15)","State: Not integrated","Co-Ed","Canterbury Region","Hurunui District",2000,2017,1
309,"Cheviot Area School","Composite (Year 1-15)","State: Not integrated","Co-Ed","Canterbury Region","Hurunui District",2000,2017,1
310,"Oxford Area School","Composite (Year 1-15)","State: Not integrated","Co-Ed","Canterbury Region","Waimakariri District",2000,2017,1
311,"Hurunui College","Composite (Year 1-15)","State: Not integrated","Co-Ed","Canterbury Region","Hurunui District",2000,2017,1
312,"Rangiora High School","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Canterbury Region","Waimakariri District",2000,2017,1
314,"Kaiapoi High School","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Canterbury Region","Waimakariri District",2000,2017,1
315,"St Bedes College","Secondary (Year 9-15)","State: Integrated","Single Sex-Boys","Canterbury Region","Christchurch City",2000,2017,1
316,"Papanui High School","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Canterbury Region","Christchurch City",2000,2017,1
317,"Christchurch Adventist School","Composite (Year 1-15)","State: Integrated","Co-Ed","Canterbury Region","Christchurch City",2000,2017,1
318,"St Andrew's College (Christchurch)","Composite (Year 1-15)","Private: Fully Reg.","Co-Ed","Canterbury Region","Christchurch City",2000,2017,1
319,"Burnside High School","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Canterbury Region","Christchurch City",2000,2017,1
